date,open,high,low,close,volume,oi,oi_change,oi_cumm,volume_change
2024-02-20 10:46:00,370.7,377.9,363.4,375.35,86565,1150830,-1.240892825,520.9397978,-32.83286778
2024-02-20 10:47:00,375.35,375.9,359.2,365.5,93045,1150830,0,520.9397978,7.485704384
2024-02-20 10:48:00,365.5,368.2,353.2,356.6,121800,1150830,0,520.9397978,30.9044011
2024-02-20 10:49:00,356.6,368.85,356.6,363.55,74610,1168395,1.526289721,522.4660875,-38.74384236
2024-02-20 10:50:00,363.55,366.6,358,365.6,82485,1168395,0,522.4660875,10.5548854
2024-02-20 10:51:00,365.6,373.5,355.6,371,98640,1168395,0,522.4660875,19.58537916
2024-02-20 10:52:00,371,380,366.6,369.35,139185,1169115,0.061622996,522.5277105,41.1040146
2024-02-20 10:53:00,369.35,378,367.95,375.9,68460,1169115,0,522.5277105,-50.81366527
2024-02-20 10:54:00,375.9,378,368.95,374.35,62715,1169115,0,522.5277105,-8.391761613
2024-02-20 10:55:00,375,378,365.1,368.7,62220,1165710,-0.291245942,522.2364646,-0.78928486
2024-02-20 10:56:00,368.7,371.15,360.55,364.9,69975,1165710,0,522.2364646,12.46383799
2024-02-20 10:57:00,364.9,364.9,330.3,359.3,244545,1165710,0,522.2364646,249.4748124
2024-02-20 10:58:00,359.3,359.3,345,351.05,86580,1177275,0.992099236,523.2285638,-64.59547323
2024-02-20 10:59:00,351.05,356,346,347.5,54840,1177275,0,523.2285638,-36.65973666
2024-02-20 11:00:00,348.25,355.55,345,346.95,57975,1177275,0,523.2285638,5.716630197
2024-02-20 11:01:00,346.95,356.85,344.4,350.9,61125,1184535,0.616678346,523.8452422,5.433376455
2024-02-20 11:02:00,350.9,359.55,350.9,354.6,52065,1184535,0,523.8452422,-14.82208589
2024-02-20 11:03:00,354.6,359.85,349.15,357.75,44115,1184535,0,523.8452422,-15.26937482
2024-02-20 11:04:00,357.75,359.35,344.25,344.55,54705,1187220,0.226671225,524.0719134,24.00544033
2024-02-20 11:05:00,344.55,344.85,337,342.9,94080,1187220,0,524.0719134,71.97696737
2024-02-20 11:06:00,342.9,342.9,324.85,335.7,212955,1187220,0,524.0719134,126.3552296
2024-02-20 11:07:00,335.7,347.4,333,344.2,117465,1239270,4.384191641,528.456105,-44.84045925
2024-02-20 11:08:00,344.2,344.2,332.85,333.6,55995,1239270,0,528.456105,-52.33048142
2024-02-20 11:09:00,333.6,336.9,327.3,329.8,92130,1239270,0,528.456105,64.53254755
2024-02-20 11:10:00,329.8,331.05,318.5,328.8,136965,1273500,2.762109952,531.218215,48.66492999
2024-02-20 11:11:00,328.8,333.95,319.25,325.65,84015,1273500,0,531.218215,-38.65951155
2024-02-20 11:12:00,325.65,334.65,325.65,328.3,90045,1273500,0,531.218215,7.17728977
2024-02-20 11:13:00,327.35,335.8,324.35,325,64395,1296435,1.800942285,533.0191573,-28.48575712
2024-02-20 11:14:00,325,325,306.85,322.9,132975,1296435,0,533.0191573,106.4989518
